Question_No,Question,Topic_tags,Acceptance_rate,isPremium,Difficulty,Question_Link,Solution,Slug,Test_Cases,Has_Solutions,Languages
11, Container With Most Water,"['Array', 'Two Pointers', 'Greedy']",56.40%,False,Medium,https://leetcode.com/problems/container-with-most-water/description,https://leetcode.com/problems/container-with-most-water/solutions,container-with-most-water,"[{""input"": ""height = [1,8,6,2,5,4,8,3,7]"", ""expectedOutput"": ""49""}, {""input"": ""height = [1,1]"", ""expectedOutput"": ""1""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
12, Integer to Roman,"['Hash Table', 'Math', 'String']",66.70%,False,Medium,https://leetcode.com/problems/integer-to-roman/description,https://leetcode.com/problems/integer-to-roman/solutions,integer-to-roman,"[{""input"": ""num = 3"", ""expectedOutput"": ""\""III \""""}, {""input"": ""num = 58"", ""expectedOutput"": ""\""LVIII \""""}, {""input"": ""num = 1994"", ""expectedOutput"": ""\""MCMXCIV \""""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
13, Roman to Integer,"['Hash Table', 'Math', 'String']",63.10%,False,Easy,https://leetcode.com/problems/roman-to-integer/description,https://leetcode.com/problems/roman-to-integer/solutions,roman-to-integer,"[{""input"": ""s =  \""III \"""", ""expectedOutput"": ""3""}, {""input"": ""s =  \""LVIII \"""", ""expectedOutput"": ""58""}, {""input"": ""s =  \""MCMXCIV \"""", ""expectedOutput"": ""1994""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
14, Longest Common Prefix,"['String', 'Trie']",44.10%,False,Easy,https://leetcode.com/problems/longest-common-prefix/description,https://leetcode.com/problems/longest-common-prefix/solutions,longest-common-prefix,"[{""input"": ""strs = [ \""flower \"", \""flow \"", \""flight \""]"", ""expectedOutput"": ""\""fl \""""}, {""input"": ""strs = [ \""dog \"", \""racecar \"", \""car \""]"", ""expectedOutput"": ""\"" \""""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
15, 3Sum,"['Array', 'Two Pointers', 'Sorting']",35.60%,False,Medium,https://leetcode.com/problems/3sum/description,https://leetcode.com/problems/3sum/solutions,3sum,"[{""input"": ""nums = [-1,0,1,2,-1,-4]"", ""expectedOutput"": ""[[-1,-1,2],[-1,0,1]]""}, {""input"": ""nums = [0,1,1]"", ""expectedOutput"": ""[]""}, {""input"": ""nums = [0,0,0]"", ""expectedOutput"": ""[[0,0,0]]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
16, 3Sum Closest,"['Array', 'Two Pointers', 'Sorting']",46.20%,False,Medium,https://leetcode.com/problems/3sum-closest/description,https://leetcode.com/problems/3sum-closest/solutions,3sum-closest,"[{""input"": ""nums = [-1,2,1,-4], target = 1"", ""expectedOutput"": ""2""}, {""input"": ""nums = [0,0,0], target = 1"", ""expectedOutput"": ""0""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
17, Letter Combinations of a Phone Number,"['Hash Table', 'String', 'Backtracking']",62.10%,False,Medium,https://leetcode.com/problems/letter-combinations-of-a-phone-number/description,https://leetcode.com/problems/letter-combinations-of-a-phone-number/solutions,letter-combinations-of-a-phone-number,"[{""input"": ""digits =  \""23 \"""", ""expectedOutput"": ""[ \""ad \"", \""ae \"", \""af \"", \""bd \"", \""be \"", \""bf \"", \""cd \"", \""ce \"", \""cf \""]""}, {""input"": ""digits =  \"" \"""", ""expectedOutput"": ""[]""}, {""input"": ""digits =  \""2 \"""", ""expectedOutput"": ""[ \""a \"", \""b \"", \""c \""]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
18, 4Sum,"['Array', 'Two Pointers', 'Sorting']",36.90%,False,Medium,https://leetcode.com/problems/4sum/description,https://leetcode.com/problems/4sum/solutions,4sum,"[{""input"": ""nums = [1,0,-1,0,-2,2], target = 0"", ""expectedOutput"": ""[[-2,-1,1,2],[-2,0,0,2],[-1,0,0,1]]""}, {""input"": ""nums = [2,2,2,2,2], target = 8"", ""expectedOutput"": ""[[2,2,2,2]]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
19, Remove Nth Node From End of List,"['Linked List', 'Two Pointers']",47.10%,False,Medium,https://leetcode.com/problems/remove-nth-node-from-end-of-list/description,https://leetcode.com/problems/remove-nth-node-from-end-of-list/solutions,remove-nth-node-from-end-of-list,"[{""input"": ""head = [1,2,3,4,5], n = 2"", ""expectedOutput"": ""[1,2,3,5]""}, {""input"": ""head = [1], n = 1"", ""expectedOutput"": ""[]""}, {""input"": ""head = [1,2], n = 1"", ""expectedOutput"": ""[1]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
20, Valid Parentheses,"['String', 'Stack']",41.30%,False,Easy,https://leetcode.com/problems/valid-parentheses/description,https://leetcode.com/problems/valid-parentheses/solutions,valid-parentheses,"[{""input"": ""s = \""()\"""", ""expectedOutput"": ""true""}, {""input"": ""s = \""()[]{}\"""", ""expectedOutput"": ""true""}, {""input"": ""s = \""(]\"""", ""expectedOutput"": ""false""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
21, Merge Two Sorted Lists,"['Linked List', 'Recursion']",65.60%,False,Easy,https://leetcode.com/problems/merge-two-sorted-lists/description,https://leetcode.com/problems/merge-two-sorted-lists/solutions,merge-two-sorted-lists,"[{""input"": ""list1 = [1,2,4]\nlist2 = [1,3,4]"", ""expectedOutput"": ""[1,1,2,3,4,4]""}, {""input"": ""list1 = []\nlist2 = []"", ""expectedOutput"": ""[]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
22, Generate Parentheses,"['String', 'Dynamic Programming', '1+']",75.80%,False,Medium,https://leetcode.com/problems/generate-parentheses/description,https://leetcode.com/problems/generate-parentheses/solutions,generate-parentheses,"[{""input"": ""n = 3"", ""expectedOutput"": ""[\""((()))\"",\""(()())\"",\""(())()\"",\""()(())\"",\""()()()\""]""}, {""input"": ""n = 1"", ""expectedOutput"": ""[\""()\""]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
23, Merge k Sorted Lists,"['Linked List', 'Divide and Conquer', '2+']",54.60%,False,Hard,https://leetcode.com/problems/merge-k-sorted-lists/description,https://leetcode.com/problems/merge-k-sorted-lists/solutions,merge-k-sorted-lists,"[{""input"": ""lists = [[1,4,5],[1,3,4],[2,6]]"", ""expectedOutput"": ""[1,1,2,3,4,4,5,6]""}, {""input"": ""lists = []"", ""expectedOutput"": ""[]""}, {""input"": ""lists = [[]]"", ""expectedOutput"": ""[]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
24, Swap Nodes in Pairs,"['Linked List', 'Recursion']",65.60%,False,Medium,https://leetcode.com/problems/swap-nodes-in-pairs/description,https://leetcode.com/problems/swap-nodes-in-pairs/solutions,swap-nodes-in-pairs,"[{""input"": ""head = [1,2,3,4]"", ""expectedOutput"": ""[2,1,4,3]""}, {""input"": ""head = []"", ""expectedOutput"": ""[]""}, {""input"": ""head = [1]"", ""expectedOutput"": ""[1]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
25, Reverse Nodes in k-Group,"['Linked List', 'Recursion']",60.80%,False,Hard,https://leetcode.com/problems/reverse-nodes-in-k-group/description,https://leetcode.com/problems/reverse-nodes-in-k-group/solutions,reverse-nodes-in-k-group,"[{""input"": ""head = [1,2,3,4,5], k = 2"", ""expectedOutput"": ""[2,1,4,3,5]""}, {""input"": ""head = [1,2,3,4,5], k = 3"", ""expectedOutput"": ""[3,2,1,4,5]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
26, Remove Duplicates from Sorted Array,"['Array', 'Two Pointers']",58.10%,False,Easy,https://leetcode.com/problems/remove-duplicates-from-sorted-array/description,https://leetcode.com/problems/remove-duplicates-from-sorted-array/solutions,remove-duplicates-from-sorted-array,"[{""input"": ""nums = [1,1,2]"", ""expectedOutput"": ""2, nums = [1,2,\\_]""}, {""input"": ""nums = [0,0,1,1,1,2,2,3,3,4]"", ""expectedOutput"": ""5, nums = [0,1,2,3,4,\\_,\\_,\\_,\\_,\\_]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
27, Remove Element,"['Array', 'Two Pointers']",58.60%,False,Easy,https://leetcode.com/problems/remove-element/description,https://leetcode.com/problems/remove-element/solutions,remove-element,"[{""input"": ""nums = [3,2,2,3], val = 3"", ""expectedOutput"": ""2, nums = [2,2,\\_,\\_]""}, {""input"": ""nums = [0,1,2,2,3,0,4,2], val = 2"", ""expectedOutput"": ""5, nums = [0,1,4,0,3,\\_,\\_,\\_]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
28, Find the Index of the First Occurrence in a String,"['Two Pointers', 'String', 'String Matching']",43.70%,False,Easy,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/description,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/solutions,find-the-index-of-the-first-occurrence-in-a-string,"[{""input"": ""haystack =  \""sadbutsad \"", needle =  \""sad \"""", ""expectedOutput"": ""0""}, {""input"": ""haystack =  \""leetcode \"", needle =  \""leeto \"""", ""expectedOutput"": ""-1""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
29, Divide Two Integers,"['Math', 'Bit Manipulation']",17.80%,False,Medium,https://leetcode.com/problems/divide-two-integers/description,https://leetcode.com/problems/divide-two-integers/solutions,divide-two-integers,"[{""input"": ""dividend = 10, divisor = 3"", ""expectedOutput"": ""3""}, {""input"": ""dividend = 7, divisor = -3"", ""expectedOutput"": ""-2""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
30, Substring with Concatenation of All Words,"['Hash Table', 'String', 'Sliding Window']",32.50%,False,Hard,https://leetcode.com/problems/substring-with-concatenation-of-all-words/description,https://leetcode.com/problems/substring-with-concatenation-of-all-words/solutions,substring-with-concatenation-of-all-words,"[{""input"": ""s =  \""barfoothefoobarman \"", words = [ \""foo \"", \""bar \""]"", ""expectedOutput"": ""[0,9]""}, {""input"": ""s =  \""wordgoodgoodgoodbestword \"", words = [ \""word \"", \""good \"", \""best \"", \""word \""]"", ""expectedOutput"": ""[]""}, {""input"": ""s =  \""barfoofoobarthefoobarman \"", words = [ \""bar \"", \""foo \"", \""the \""]"", ""expectedOutput"": ""[6,9,12]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
31, Next Permutation,"['Array', 'Two Pointers']",41.40%,False,Medium,https://leetcode.com/problems/next-permutation/description,https://leetcode.com/problems/next-permutation/solutions,next-permutation,"[{""input"": ""nums = [1,2,3]"", ""expectedOutput"": ""[1,3,2]""}, {""input"": ""nums = [3,2,1]"", ""expectedOutput"": ""[1,2,3]""}, {""input"": ""nums = [1,1,5]"", ""expectedOutput"": ""[1,5,1]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
32, Longest Valid Parentheses,"['String', 'Dynamic Programming', 'Stack']",35.00%,False,Hard,https://leetcode.com/problems/longest-valid-parentheses/description,https://leetcode.com/problems/longest-valid-parentheses/solutions,longest-valid-parentheses,"[{""input"": ""s =  \""(() \"""", ""expectedOutput"": ""2""}, {""input"": ""s =  \"")()()) \"""", ""expectedOutput"": ""4""}, {""input"": ""s =  \"" \"""", ""expectedOutput"": ""0""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
33, Search in Rotated Sorted Array,"['Array', 'Binary Search']",41.70%,False,Medium,https://leetcode.com/problems/search-in-rotated-sorted-array/description,https://leetcode.com/problems/search-in-rotated-sorted-array/solutions,search-in-rotated-sorted-array,"[{""input"": ""nums = [4,5,6,7,0,1,2], target = 0"", ""expectedOutput"": ""4""}, {""input"": ""nums = [4,5,6,7,0,1,2], target = 3"", ""expectedOutput"": ""-1""}, {""input"": ""nums = [1], target = 0"", ""expectedOutput"": ""-1""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
34, Find First and Last Position of Element in Sorted Array,"['Array', 'Binary Search']",45.40%,False,Medium,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/description,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/solutions,find-first-and-last-position-of-element-in-sorted-array,"[{""input"": ""nums = [5,7,7,8,8,10], target = 8"", ""expectedOutput"": ""[3,4]""}, {""input"": ""nums = [5,7,7,8,8,10], target = 6"", ""expectedOutput"": ""[-1,-1]""}, {""input"": ""nums = [], target = 0"", ""expectedOutput"": ""[-1,-1]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
35, Search Insert Position,"['Array', 'Binary Search']",47.50%,False,Easy,https://leetcode.com/problems/search-insert-position/description,https://leetcode.com/problems/search-insert-position/solutions,search-insert-position,"[{""input"": ""nums = [1,3,5,6], target = 5"", ""expectedOutput"": ""2""}, {""input"": ""nums = [1,3,5,6], target = 2"", ""expectedOutput"": ""1""}, {""input"": ""nums = [1,3,5,6], target = 7"", ""expectedOutput"": ""4""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
36, Valid Sudoku,"['Array', 'Hash Table', 'Matrix']",60.90%,False,Medium,https://leetcode.com/problems/valid-sudoku/description,https://leetcode.com/problems/valid-sudoku/solutions,valid-sudoku,"[{""input"": ""See problem description"", ""expectedOutput"": ""See problem description""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
37, Sudoku Solver,"['Array', 'Hash Table', 'Backtracking', '1+']",63.30%,False,Hard,https://leetcode.com/problems/sudoku-solver/description,https://leetcode.com/problems/sudoku-solver/solutions,sudoku-solver,"[{""input"": ""See problem description"", ""expectedOutput"": ""See problem description""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
38, Count and Say,['String'],56.80%,False,Medium,https://leetcode.com/problems/count-and-say/description,https://leetcode.com/problems/count-and-say/solutions,count-and-say,"[{""input"": ""n = 1"", ""expectedOutput"": ""\""1 \""""}, {""input"": ""n = 4"", ""expectedOutput"": ""\""1211 \""""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
39, Combination Sum,"['Array', 'Backtracking']",73.10%,False,Medium,https://leetcode.com/problems/combination-sum/description,https://leetcode.com/problems/combination-sum/solutions,combination-sum,"[{""input"": ""candidates = [2,3,6,7], target = 7"", ""expectedOutput"": ""[[2,2,3],[7]]""}, {""input"": ""candidates = [2,3,5], target = 8"", ""expectedOutput"": ""[[2,2,2,2],[2,3,3],[3,5]]""}, {""input"": ""candidates = [2], target = 1"", ""expectedOutput"": ""[]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
40, Combination Sum II,"['Array', 'Backtracking']",56.60%,False,Medium,https://leetcode.com/problems/combination-sum-ii/description,https://leetcode.com/problems/combination-sum-ii/solutions,combination-sum-ii,"[{""input"": ""candidates = [10,1,2,7,6,1,5], target = 8"", ""expectedOutput"": ""[""}, {""input"": ""candidates = [2,5,2,1,2], target = 5"", ""expectedOutput"": ""[""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
41, First Missing Positive,"['Array', 'Hash Table']",40.10%,False,Hard,https://leetcode.com/problems/first-missing-positive/description,https://leetcode.com/problems/first-missing-positive/solutions,first-missing-positive,"[{""input"": ""nums = [1,2,0]"", ""expectedOutput"": ""3""}, {""input"": ""nums = [3,4,-1,1]"", ""expectedOutput"": ""2""}, {""input"": ""nums = [7,8,9,11,12]"", ""expectedOutput"": ""1""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
42, Trapping Rain Water,"['Array', 'Two Pointers', '3+']",63.40%,False,Hard,https://leetcode.com/problems/trapping-rain-water/description,https://leetcode.com/problems/trapping-rain-water/solutions,trapping-rain-water,"[{""input"": ""height = [0,1,0,2,1,0,1,3,2,1,2,1]"", ""expectedOutput"": ""6""}, {""input"": ""height = [4,2,0,3,2,5]"", ""expectedOutput"": ""9""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
43, Multiply Strings,"['Math', 'String', 'Simulation']",41.20%,False,Medium,https://leetcode.com/problems/multiply-strings/description,https://leetcode.com/problems/multiply-strings/solutions,multiply-strings,"[{""input"": ""num1 = \""2\"", num2 = \""3\"""", ""expectedOutput"": ""\""6\""""}, {""input"": ""num1 = \""123\"", num2 = \""456\"""", ""expectedOutput"": ""\""56088\""""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
44, Wildcard Matching,"['String', 'Dynamic Programming', '2+']",28.80%,False,Hard,https://leetcode.com/problems/wildcard-matching/description,https://leetcode.com/problems/wildcard-matching/solutions,wildcard-matching,"[{""input"": ""s =  \""aa \"", p =  \""a \"""", ""expectedOutput"": ""false""}, {""input"": ""s =  \""aa \"", p =  \""\\* \"""", ""expectedOutput"": ""true""}, {""input"": ""s =  \""cb \"", p =  \""?a \"""", ""expectedOutput"": ""false""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
45, Jump Game II,"['Array', 'Dynamic Programming', 'Greedy']",40.80%,False,Medium,https://leetcode.com/problems/jump-game-ii/description,https://leetcode.com/problems/jump-game-ii/solutions,jump-game-ii,"[{""input"": ""nums = [2,3,1,1,4]"", ""expectedOutput"": ""2""}, {""input"": ""nums = [2,3,0,1,4]"", ""expectedOutput"": ""2""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
46, Permutations,"['Array', 'Backtracking']",79.50%,False,Medium,https://leetcode.com/problems/permutations/description,https://leetcode.com/problems/permutations/solutions,permutations,"[{""input"": ""nums = [1,2,3]"", ""expectedOutput"": ""[[1,2,3],[1,3,2],[2,1,3],[2,3,1],[3,1,2],[3,2,1]]""}, {""input"": ""nums = [0,1]"", ""expectedOutput"": ""[[0,1],[1,0]]""}, {""input"": ""nums = [1]"", ""expectedOutput"": ""[[1]]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
47, Permutations II,"['Array', 'Backtracking']",60.30%,False,Medium,https://leetcode.com/problems/permutations-ii/description,https://leetcode.com/problems/permutations-ii/solutions,permutations-ii,"[{""input"": ""nums = [1,1,2]"", ""expectedOutput"": ""[[1,1,2],""}, {""input"": ""nums = [1,2,3]"", ""expectedOutput"": ""[[1,2,3],[1,3,2],[2,1,3],[2,3,1],[3,1,2],[3,2,1]]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
48, Rotate Image,"['Array', 'Math', 'Matrix']",76.20%,False,Medium,https://leetcode.com/problems/rotate-image/description,https://leetcode.com/problems/rotate-image/solutions,rotate-image,"[{""input"": ""matrix = [[1,2,3],[4,5,6],[7,8,9]]"", ""expectedOutput"": ""[[7,4,1],[8,5,2],[9,6,3]]""}, {""input"": ""matrix = [[5,1,9,11],[2,4,8,10],[13,3,6,7],[15,14,12,16]]"", ""expectedOutput"": ""[[15,13,2,5],[14,3,4,1],[12,6,8,9],[16,7,10,11]]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
49, Group Anagrams,"['Array', 'Hash Table', 'String', '1+']",69.70%,False,Medium,https://leetcode.com/problems/group-anagrams/description,https://leetcode.com/problems/group-anagrams/solutions,group-anagrams,"[{""input"": ""strs = [\""eat\"",\""tea\"",\""tan\"",\""ate\"",\""nat\"",\""bat\""]"", ""expectedOutput"": ""[[\""bat\""],[\""nat\"",\""tan\""],[\""ate\"",\""eat\"",\""tea\""]]""}, {""input"": ""strs = [\""\""]"", ""expectedOutput"": ""[[\""\""]]""}, {""input"": ""strs = [\""a\""]"", ""expectedOutput"": ""[[\""a\""]]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
50," Pow(x, n)","['Math', 'Recursion']",35.80%,False,Medium,"https://leetcode.com/problems/pow(x,-n)/description","https://leetcode.com/problems/pow(x,-n)/solutions",powx-n,"[{""input"": ""x = 2.00000, n = 10"", ""expectedOutput"": ""1024.00000""}, {""input"": ""x = 2.10000, n = 3"", ""expectedOutput"": ""9.26100""}, {""input"": ""x = 2.00000, n = -2"", ""expectedOutput"": ""0.25000""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
51, N-Queens,"['Array', 'Backtracking']",70.40%,False,Hard,https://leetcode.com/problems/n-queens/description,https://leetcode.com/problems/n-queens/solutions,n-queens,"[{""input"": ""n = 4"", ""expectedOutput"": ""[[ \"".Q.. \"", \""...Q \"", \""Q... \"", \""..Q. \""],[ \""..Q. \"", \""Q... \"", \""...Q \"", \"".Q.. \""]]""}, {""input"": ""n = 1"", ""expectedOutput"": ""[[ \""Q \""]]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
52, N-Queens II,['Backtracking'],75.20%,False,Hard,https://leetcode.com/problems/n-queens-ii/description,https://leetcode.com/problems/n-queens-ii/solutions,n-queens-ii,"[{""input"": ""n = 4"", ""expectedOutput"": ""2""}, {""input"": ""n = 1"", ""expectedOutput"": ""1""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
53, Maximum Subarray,"['Array', 'Divide and Conquer', '1+']",51.30%,False,Medium,https://leetcode.com/problems/maximum-subarray/description,https://leetcode.com/problems/maximum-subarray/solutions,maximum-subarray,"[{""input"": ""nums = [-2,1,-3,4,-1,2,1,-5,4]"", ""expectedOutput"": ""6""}, {""input"": ""nums = [1]"", ""expectedOutput"": ""1""}, {""input"": ""nums = [5,4,-1,7,8]"", ""expectedOutput"": ""23""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
54, Spiral Matrix,"['Array', 'Matrix', 'Simulation']",51.80%,False,Medium,https://leetcode.com/problems/spiral-matrix/description,https://leetcode.com/problems/spiral-matrix/solutions,spiral-matrix,"[{""input"": ""matrix = [[1,2,3],[4,5,6],[7,8,9]]"", ""expectedOutput"": ""[1,2,3,6,9,8,7,4,5]""}, {""input"": ""matrix = [[1,2,3,4],[5,6,7,8],[9,10,11,12]]"", ""expectedOutput"": ""[1,2,3,4,8,12,11,10,9,5,6,7]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
55, Jump Game,"['Array', 'Dynamic Programming', 'Greedy']",38.90%,False,Medium,https://leetcode.com/problems/jump-game/description,https://leetcode.com/problems/jump-game/solutions,jump-game,"[{""input"": ""nums = [2,3,1,1,4]"", ""expectedOutput"": ""true""}, {""input"": ""nums = [3,2,1,0,4]"", ""expectedOutput"": ""false""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
56, Merge Intervals,"['Array', 'Sorting']",48.20%,False,Medium,https://leetcode.com/problems/merge-intervals/description,https://leetcode.com/problems/merge-intervals/solutions,merge-intervals,"[{""input"": ""intervals = [[1,3],[2,6],[8,10],[15,18]]"", ""expectedOutput"": ""[[1,6],[8,10],[15,18]]""}, {""input"": ""intervals = [[1,4],[4,5]]"", ""expectedOutput"": ""[[1,5]]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
